Depth_1;Depth_3;Depth_4;Depth_5
0.014;0.681;0.202;1.968
0.016;0.562;0.516;1.693
0.024;0.833;1.621;25.264
0.024;0.691;1.095;4.154
0.019;0.608;2.92;10.582
0.005;0.979;1.462;17.137
0.024;1.199;2.877;18.768
0.013;0.653;4.488;19.841
0.009;0.419;6.799;12.101
0.029;0.589;7.553;12.041
0.024;0.951;11.553;5.707
0.018;0.141;10.359;4.964
0.027;0.398;10.359;3.891
0.022;0.198;10.034;2.086
0.019;0.202;6.586;6.588
0.036;0.608;6.099;11.888
0.042;0.653;6.553;7.543
0.038;0.562;2.287;37.93
0.049;0.589;2.519;23.487
0.088;0.141;4.182;62.107
