Depth_1;Depth_3;Depth_5
0.014;0.681;11.471
4.414;1.299;7.639
0.016;0.562;12.397
1.313;1.44;7.531
0.024;0.833;2.818
0.896;1.012;18.317
0.019;0.691;11.219
0.898;0.952;3.604
0.005;0.608;7.535
0.826;7.928;9.574
0.024;0.979;4.768
1.201;1.322;9.841
0.013;1.199;6.768
0.958;1.097;9.841
0.009;0.653;4.014
1.292;1.228;2.966
0.029;0.419;11.471
1.001;1.013;9.574
0.024;0.589;18.317
0.909;1.366;11.471
0.018;0.951;7.535
1.378;1.028;14.768
0.027;0.141;10.471
1.098;3.676;17.535
0.022;0.398;11.471
0.989;1.157;16.768
0.019;0.198;13.604
0.934;7.381;18.317
0.036;0.202;19.574
1.303;6.709;11.471
